,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WSH
ATL,,937,748,226,589,556,720,1211,598,2130,702,428,1935,1935,337,607,670,909,425,749,756,402,666,1587,2171,2085,882,736,1582,543
BOS,1508,,189,721,850,550,1551,1767,612,2688,1606,806,2594,2594,1136,1260,856,1122,1360,188,1494,1117,271,2298,2536,2628,1767,430,2096,394
BRK,1204,304,,394,715,408,1375,1633,485,2564,1421,648,2452,2452,957,1093,737,1021,1171,6,1329,939,82,2145,2446,2506,1585,346,1974,205
CHA,364,1160,634,,588,436,929,1357,506,2291,927,428,2117,2117,520,656,659,940,649,534,940,464,451,1781,2287,2242,1105,588,1726,330
CHI,948,1368,1151,946,,308,806,919,237,1849,943,165,1744,1744,483,1193,82,355,836,712,693,987,664,1453,1756,1791,1054,436,1259,594
CLE,895,885,657,702,496,,1026,1225,90,2156,1115,263,2047,2047,634,1092,335,630,936,404,951,897,358,1748,2052,2099,1258,190,1566,304
DAL,1159,2496,2213,1495,1297,1651,,663,1000,1475,225,764,1239,1239,420,1111,859,865,443,1373,191,962,1299,886,1633,1440,253,1205,1000,1183
DEN,1949,2844,2628,2184,1479,1971,1067,,1156,940,879,100,831,831,878,1727,914,699,1082,1630,505,1551,1577,586,982,888,803,1344,371,1491
DET,962,985,781,814,381,145,1609,1860,,2081,1107,240,1982,1982,624,1158,252,543,941,481,910,959,442,1689,1966,2023,1240,207,1490,394
GSW,3428,4326,4126,3687,2976,3470,2374,1513,3349,,1637,1939,344,344,1793,2586,1832,1575,1917,2560,1379,2432,2511,647,534,68,1482,2258,592,2429
HOU,1130,2585,2287,1492,1518,1794,362,1415,1782,2634,,867,1372,1372,485,968,1007,1059,318,1421,414,849,1341,1015,1836,1608,189,1303,1200,1220
IND,689,1297,1043,689,266,423,1230,161,386,3121,1395,,1808,1808,384,1028,244,511,714,645,689,823,583,1498,1883,1884,1001,441,1355,491
LAC,3114,4175,3946,3407,2807,3294,1994,1337,3190,554,2208,2910,,0,1602,2338,1743,1523,1671,2449,1180,2200,2391,357,827,362,1203,2174,180,2297
LAL,3114,4175,3946,3407,2807,3294,1994,1337,3190,554,2208,2910,0,,1602,2338,1743,1523,1671,2449,1180,2200,2391,357,827,362,1203,2174,180,2297
MEM,542,1828,1540,837,777,1020,676,1413,1004,2886,781,618,2578,2578,,875,558,701,360,956,422,684,880,1261,1848,1748,633,818,1249,763
MIA,977,2028,1759,1056,1920,1757,1788,2779,1864,4162,1558,1654,3763,3763,1408,,1272,1516,670,1096,1228,205,1024,1981,2708,2551,1149,1238,2090,928
MIL,1078,1378,1186,1061,132,539,1382,1471,406,2948,1621,393,2805,2805,898,2047,,298,913,733,733,1067,693,1464,1717,1773,1110,431,1241,635
MIN,1463,1806,1643,1513,571,1014,1392,1125,874,2535,1704,822,2451,2451,1128,2440,480,,1054,1017,695,1311,984,1280,1425,1513,1113,692,986,932
NOP,684,2189,1885,1044,1345,1506,713,1741,1514,3085,512,1149,2689,2689,579,1078,1469,1696,,1172,577,534,1090,1315,2062,1882,507,1115,1434,966
NYK,1205,303,10,859,1146,650,2210,2623,774,4120,2287,1038,3941,3941,1539,1764,1180,1637,1886,,1327,943,83,2143,2441,2503,1585,341,1970,206
OKC,1217,2404,2139,1513,1115,1530,307,813,1464,2219,666,1109,1899,1899,679,1976,1180,1118,929,2136,,1059,1258,841,1486,1338,422,1117,862,1151
ORL,647,1798,1511,747,1588,1444,1548,2496,1543,3914,1366,1324,3541,3541,1101,330,1717,2110,859,1518,1704,,865,1845,2528,2393,1036,1051,1918,759
PHI,1072,436,132,726,1069,576,2091,2538,711,4041,2158,938,3848,3848,1416,1648,1115,1584,1754,134,2025,1392,,2080,2408,2455,1507,336,1922,123
PHX,2554,3698,3452,2866,2338,2813,1426,943,2718,1041,1633,2411,575,575,2029,3188,2356,2060,2116,3449,1353,2969,3347,,1007,635,848,1889,506,1980
POR,3494,4081,3936,3681,2826,3302,2628,1580,3164,859,2955,3030,1331,1331,2974,4358,2763,2293,3318,3928,2391,4068,3875,1621,,484,1721,2111,635,2350
SAC,3355,4229,4033,3608,2882,3378,2317,1429,3256,109,2588,3032,583,583,2813,4105,2853,2435,3029,4028,2153,3851,3951,1022,779,,1458,2198,533,2374
SAS,1419,2844,2551,1778,1696,2025,407,1292,1996,2385,304,1611,1936,1936,1019,1849,1786,1791,816,2551,679,1667,2425,1365,2770,2346,,1441,1088,1387
TOR,1184,692,557,946,702,306,1939,2163,333,3634,2097,710,3499,3499,1316,1992,694,1114,1794,549,1798,1691,541,3040,3397,3537,2319,,1667,350
UTA,2546,3373,3177,2778,2026,2520,1609,597,2398,953,1931,2181,290,290,2010,3364,1997,1587,2308,3170,1387,3087,3093,814,1022,858,1751,2683,,1817
WSH,874,634,330,531,956,489,1904,2400,634,3909,1963,790,3697,3697,1228,1493,1022,1500,1555,332,1852,1221,198,3186,3782,3821,2232,563,2924,